code,year,child_mortality
AFG,1800,468.6
AFG,1801,468.6
AFG,1802,468.6
AFG,1803,468.6
AFG,1804,468.6
AFG,1805,468.6
AFG,1806,470
AFG,1807,470
AFG,1808,470
AFG,1809,470
AFG,1810,470
AFG,1811,470
AFG,1812,470
AFG,1813,470
AFG,1814,470
AFG,1815,470
AFG,1816,471.4
AFG,1817,471.4
AFG,1818,471.4
AFG,1819,471.4
AFG,1820,471.4
AFG,1821,471.4
AFG,1822,471.4
AFG,1823,471.4
AFG,1824,471.4
AFG,1825,471.4
AFG,1826,472.8
AFG,1827,472.8
AFG,1828,472.8
AFG,1829,472.8
AFG,1830,472.8
AFG,1831,472.8
AFG,1832,472.8
AFG,1833,472.8
AFG,1834,472.8
AFG,1835,472.8
AFG,1836,474.2
AFG,1837,474.2
AFG,1838,474.2
AFG,1839,474.2
AFG,1840,474.2
AFG,1841,474.2
AFG,1842,474.2
AFG,1843,474.2
AFG,1844,474.2
AFG,1845,475.7
AFG,1846,475.7
AFG,1847,475.7
AFG,1848,475.7
AFG,1849,475.7
AFG,1850,475.7
AFG,1851,475.7
AFG,1852,475.7
AFG,1853,475.7
AFG,1854,475.7
AFG,1855,477.1
AFG,1856,477.1
AFG,1857,477.1
AFG,1858,477.1
AFG,1859,477.1
AFG,1860,477.1
AFG,1861,477.1
AFG,1862,477.1
AFG,1863,477.1
AFG,1864,477.1
AFG,1865,478.5
AFG,1866,478.5
AFG,1867,478.5
AFG,1868,478.5
AFG,1869,478.5
AFG,1870,478.5
AFG,1871,478.5
AFG,1872,478.5
AFG,1873,478.5
AFG,1874,478.5
AFG,1875,480
AFG,1876,480
AFG,1877,480
AFG,1878,480
AFG,1879,480
AFG,1880,480
AFG,1881,480
AFG,1882,480
AFG,1883,480
AFG,1884,480
AFG,1885,481.4
AFG,1886,481.4
AFG,1887,481.4
AFG,1888,481.4
AFG,1889,481.4
AFG,1890,481.4
AFG,1891,481.4
AFG,1892,481.4
AFG,1893,481.4
AFG,1894,482.8
AFG,1895,482.8
AFG,1896,482.7
AFG,1897,482.6
AFG,1898,482.4
AFG,1899,482.1
AFG,1900,481.8
AFG,1901,481.4
AFG,1902,480.9
AFG,1903,480.3
AFG,1904,481.1
AFG,1905,480.4
AFG,1906,479.6
AFG,1907,478.7
AFG,1908,477.8
AFG,1909,476.7
AFG,1910,475.7
AFG,1911,474.6
AFG,1912,473.4
AFG,1913,472.3
AFG,1914,472.6
AFG,1915,471.4
AFG,1916,470.3
AFG,1917,469.1
AFG,1918,468.1
AFG,1919,467.1
AFG,1920,466.1
AFG,1921,465.1
AFG,1922,464.1
AFG,1923,463.1
AFG,1924,463.5
AFG,1925,462.5
AFG,1926,461.5
AFG,1927,460.4
AFG,1928,459.4
AFG,1929,458.4
AFG,1930,457.4
AFG,1931,456.4
AFG,1932,455.4
AFG,1933,455.7
AFG,1934,454.7
AFG,1935,453.7
AFG,1936,452.6
AFG,1937,451.6
AFG,1938,450.6
AFG,1939,449.6
AFG,1940,448.6
AFG,1941,447.5
AFG,1942,446.5
AFG,1943,446.8
AFG,1944,445.8
AFG,1945,444.7
AFG,1946,443.7
AFG,1947,442.7
AFG,1948,441.6
AFG,1949,440.6
AFG,1950,439.6
AFG,1951,435.9
AFG,1952,426.1
AFG,1953,416.6
AFG,1954,407.2
AFG,1955,398.1
AFG,1956,389.1
