name,income_groups,code,world_4region
Abkhazia,,,europe
Afghanistan,low_income,AFG,asia
Akrotiri and Dhekelia,,,europe
Albania,upper_middle_income,ALB,europe
Algeria,upper_middle_income,DZA,africa
American Samoa,upper_middle_income,ASM,asia
Andorra,high_income,AND,europe
Angola,upper_middle_income,AGO,africa
Anguilla,,AIA,americas
Antarctica,,,europe
Antigua and Barbuda,high_income,ATG,americas
Argentina,upper_middle_income,ARG,americas
Armenia,lower_middle_income,ARM,europe
Aruba,high_income,ABW,americas
Australia,high_income,AUS,asia
Austria,high_income,AUT,europe
Azerbaijan,upper_middle_income,AZE,europe
Bahamas,high_income,BHS,americas
Bahrain,high_income,BHR,asia
Bangladesh,low_income,BGD,asia
Barbados,high_income,BRB,americas
Belarus,upper_middle_income,BLR,europe
Belgium,high_income,BEL,europe
Belize,upper_middle_income,BLZ,americas
Benin,low_income,BEN,africa
Bermuda,high_income,BMU,americas
Bhutan,lower_middle_income,BTN,asia
Bolivia,lower_middle_income,BOL,americas
Bosnia and Herzegovina,upper_middle_income,BIH,europe
Botswana,upper_middle_income,BWA,africa
Bouvet Island,,,africa
Brazil,upper_middle_income,BRA,americas
British Indian Ocean Territory,,,asia
British Virgin Islands,,VGB,americas
Brunei,high_income,BRN,asia
Bulgaria,upper_middle_income,BGR,europe
Burkina Faso,low_income,BFA,africa
Burundi,low_income,BDI,africa
Cambodia,low_income,KHM,asia
Cameroon,lower_middle_income,CMR,africa
Canada,high_income,CAN,americas
Cape Verde,lower_middle_income,CPV,africa
Cayman Islands,high_income,CYM,americas
Central African Republic,low_income,CAF,africa
Chad,low_income,TCD,africa
Channel Islands,high_income,,europe
Chile,high_income,CHL,americas
China,upper_middle_income,CHN,asia
Christmas Island,,CXR,asia
Clipperton,,,
Cocos Island,,CCK,asia
Colombia,upper_middle_income,COL,americas
Comoros,low_income,COM,africa
"Congo, Dem. Rep.",low_income,COD,africa
"Congo, Rep.",lower_middle_income,COG,africa
Cook Is,,COK,asia
Costa Rica,upper_middle_income,CRI,americas
Cote d'Ivoire,lower_middle_income,CIV,africa
Croatia,high_income,HRV,europe
Cuba,upper_middle_income,CUB,americas
Curaçao,high_income,,americas
Cyprus,high_income,CYP,europe
Czech Republic,high_income,CZE,europe
Czechoslovakia,,,europe
Denmark,high_income,DNK,europe
Djibouti,lower_middle_income,DJI,africa
Dominica,upper_middle_income,DMA,americas
Dominican Republic,upper_middle_income,DOM,americas
East Germany,,,europe
Ecuador,upper_middle_income,ECU,americas
Egypt,lower_middle_income,EGY,africa
El Salvador,lower_middle_income,SLV,americas
Equatorial Guinea,high_income,GNQ,africa
Eritrea,low_income,ERI,africa
Eritrea and Ethiopia,,,africa
Estonia,high_income,EST,europe
Ethiopia,low_income,ETH,africa
Faeroe Islands,high_income,FRO,europe
Falkland Is (Malvinas),,FLK,americas
Fiji,upper_middle_income,FJI,asia
Finland,high_income,FIN,europe
France,high_income,FRA,europe
French Guiana,,GUF,americas
French Polynesia,high_income,PYF,asia
French Southern and Antarctic Lands,,,
Gabon,upper_middle_income,GAB,africa
Gambia,low_income,GMB,africa
Gaza Strip,,,asia
Georgia,lower_middle_income,GEO,europe
Germany,high_income,DEU,europe
Ghana,lower_middle_income,GHA,africa
Gibraltar,,GIB,europe
Greece,high_income,GRC,europe
Greenland,high_income,GRL,europe
Grenada,upper_middle_income,GRD,americas
Guadeloupe,,GLP,americas
Guam,high_income,GUM,asia
Guatemala,lower_middle_income,GTM,americas
Guernsey,,,europe
Guinea,low_income,GIN,africa
Guinea-Bissau,low_income,GNB,africa
Guyana,lower_middle_income,GUY,americas
Haiti,low_income,HTI,americas
Heard and McDonald Islands,,,asia
Holy See,,,europe
Honduras,lower_middle_income,HND,americas
"Hong Kong, China",high_income,HKG,asia
Hungary,upper_middle_income,HUN,europe
Iceland,high_income,ISL,europe
India,lower_middle_income,IND,asia
Indonesia,lower_middle_income,IDN,asia
Iran,upper_middle_income,IRN,asia
Iraq,upper_middle_income,IRQ,asia
Ireland,high_income,IRL,europe
Isle of Man,high_income,,europe
Israel,high_income,ISR,asia
Italy,high_income,ITA,europe
Jamaica,upper_middle_income,JAM,americas
Japan,high_income,JPN,asia
Jersey,,,europe
Jordan,upper_middle_income,JOR,asia
Kazakhstan,upper_middle_income,KAZ,asia
Kenya,low_income,KEN,africa
Kiribati,lower_middle_income,KIR,asia
Kosovo,lower_middle_income,,europe
Kuwait,high_income,KWT,asia
Kyrgyz Republic,low_income,KGZ,asia
Lao,lower_middle_income,LAO,asia
Latvia,high_income,LVA,europe
Lebanon,upper_middle_income,LBN,asia
Lesotho,lower_middle_income,LSO,africa
Liberia,low_income,LBR,africa
