code,year,fertility
AFG,1800,7
AFG,1801,7
AFG,1802,7
AFG,1803,7
AFG,1804,7
AFG,1805,7
AFG,1806,7
AFG,1807,7
AFG,1808,7
AFG,1809,7
AFG,1810,7
AFG,1811,7
AFG,1812,7
AFG,1813,7
AFG,1814,7
AFG,1815,7
AFG,1816,7
AFG,1817,7
AFG,1818,7
AFG,1819,7
AFG,1820,7
AFG,1821,7
AFG,1822,7
AFG,1823,7
AFG,1824,7
AFG,1825,7
AFG,1826,7
AFG,1827,7
AFG,1828,7
AFG,1829,7
AFG,1830,7
AFG,1831,7
AFG,1832,7
AFG,1833,7
AFG,1834,7
AFG,1835,7
AFG,1836,7
AFG,1837,7
AFG,1838,7
AFG,1839,7
AFG,1840,7
AFG,1841,7
AFG,1842,7
AFG,1843,7
AFG,1844,7
AFG,1845,7
AFG,1846,7
AFG,1847,7
AFG,1848,7
AFG,1849,7
AFG,1850,7
AFG,1851,7
AFG,1852,7
AFG,1853,7
AFG,1854,7
AFG,1855,7
AFG,1856,7
AFG,1857,7
AFG,1858,7
AFG,1859,7
AFG,1860,7
AFG,1861,7
AFG,1862,7
AFG,1863,7
AFG,1864,7
AFG,1865,7
AFG,1866,7
AFG,1867,7
AFG,1868,7
AFG,1869,7
AFG,1870,7
AFG,1871,7
AFG,1872,7
AFG,1873,7
AFG,1874,7
AFG,1875,7
AFG,1876,7
AFG,1877,7
AFG,1878,7
AFG,1879,7
AFG,1880,7
AFG,1881,7
AFG,1882,7
AFG,1883,7
AFG,1884,7
AFG,1885,7
AFG,1886,7
AFG,1887,7
AFG,1888,7
AFG,1889,7
AFG,1890,7
AFG,1891,7
AFG,1892,7
AFG,1893,7
AFG,1894,7
AFG,1895,7
AFG,1896,7
AFG,1897,7
AFG,1898,7
AFG,1899,7
AFG,1900,7
AFG,1901,7
AFG,1902,7
AFG,1903,7
AFG,1904,7
AFG,1905,7
AFG,1906,7
AFG,1907,7
AFG,1908,7
AFG,1909,7
AFG,1910,7
AFG,1911,7
AFG,1912,7
AFG,1913,7
AFG,1914,7
AFG,1915,7
AFG,1916,7
AFG,1917,7
AFG,1918,7
AFG,1919,7
AFG,1920,7
AFG,1921,7
AFG,1922,7
AFG,1923,7
AFG,1924,7
AFG,1925,7
AFG,1926,7.03
AFG,1927,7.05
AFG,1928,7.08
AFG,1929,7.11
AFG,1930,7.14
AFG,1931,7.16
AFG,1932,7.19
AFG,1933,7.22
AFG,1934,7.24
AFG,1935,7.27
AFG,1936,7.3
AFG,1937,7.32
AFG,1938,7.35
AFG,1939,7.38
AFG,1940,7.4
AFG,1941,7.43
AFG,1942,7.46
AFG,1943,7.48
AFG,1944,7.51
AFG,1945,7.54
AFG,1946,7.56
AFG,1947,7.59
AFG,1948,7.62
AFG,1949,7.64
AFG,1950,7.67
AFG,1951,7.67
AFG,1952,7.67
AFG,1953,7.67
AFG,1954,7.67
AFG,1955,7.67
AFG,1956,7.67
AFG,1957,7.67
AFG,1958,7.67
AFG,1959,7.67
AFG,1960,7.67
AFG,1961,7.67
AFG,1962,7.67
AFG,1963,7.67
AFG,1964,7.67
AFG,1965,7.67
AFG,1966,7.67
AFG,1967,7.67
AFG,1968,7.67
AFG,1969,7.67
AFG,1970,7.67
AFG,1971,7.67
AFG,1972,7.67
AFG,1973,7.67
AFG,1974,7.67
AFG,1975,7.67
AFG,1976,7.67
AFG,1977,7.67
AFG,1978,7.67
