code,year,life_expectancy
AFG,1800,28.21
AFG,1801,28.2
AFG,1802,28.19
AFG,1803,28.18
AFG,1804,28.17
AFG,1805,28.16
AFG,1806,28.15
AFG,1807,28.14
AFG,1808,28.13
AFG,1809,28.12
AFG,1810,28.11
AFG,1811,28.1
AFG,1812,28.09
AFG,1813,28.08
AFG,1814,28.07
AFG,1815,28.06
AFG,1816,28.05
AFG,1817,28.04
AFG,1818,28.03
AFG,1819,28.02
AFG,1820,28.01
AFG,1821,28
AFG,1822,27.99
AFG,1823,27.98
AFG,1824,27.97
AFG,1825,27.95
AFG,1826,27.94
AFG,1827,27.93
AFG,1828,27.92
AFG,1829,27.91
AFG,1830,27.9
AFG,1831,27.89
AFG,1832,27.88
AFG,1833,27.87
AFG,1834,27.86
AFG,1835,27.85
AFG,1836,27.84
AFG,1837,27.83
AFG,1838,27.82
AFG,1839,27.81
AFG,1840,27.8
AFG,1841,27.79
AFG,1842,27.78
AFG,1843,27.77
AFG,1844,27.76
AFG,1845,27.75
AFG,1846,27.74
AFG,1847,27.73
AFG,1848,27.72
AFG,1849,27.71
AFG,1850,27.7
AFG,1851,27.69
AFG,1852,27.68
AFG,1853,27.67
AFG,1854,27.66
AFG,1855,27.65
AFG,1856,27.64
AFG,1857,27.63
AFG,1858,27.62
AFG,1859,27.61
AFG,1860,27.6
AFG,1861,27.59
AFG,1862,27.58
AFG,1863,27.57
AFG,1864,27.56
AFG,1865,27.54
AFG,1866,27.53
AFG,1867,27.52
AFG,1868,27.51
AFG,1869,27.5
AFG,1870,27.49
AFG,1871,27.48
AFG,1872,27.47
AFG,1873,27.46
AFG,1874,27.45
AFG,1875,27.44
AFG,1876,27.43
AFG,1877,27.42
AFG,1878,27.41
AFG,1879,27.4
AFG,1880,27.39
AFG,1881,27.38
AFG,1882,27.37
AFG,1883,27.36
AFG,1884,27.35
AFG,1885,27.34
AFG,1886,27.33
AFG,1887,27.32
AFG,1888,27.31
AFG,1889,27.3
AFG,1890,27.29
AFG,1891,27.28
AFG,1892,27.27
AFG,1893,27.26
AFG,1894,27.25
AFG,1895,27.24
AFG,1896,27.23
AFG,1897,27.22
