code,year,population_total
ABW,1800,19286
ABW,1801,19286
ABW,1802,19286
ABW,1803,19286
ABW,1804,19286
ABW,1805,19286
ABW,1806,19286
ABW,1807,19286
ABW,1808,19286
ABW,1809,19286
ABW,1810,19286
ABW,1811,19286
ABW,1812,19286
ABW,1813,19286
ABW,1814,19286
ABW,1815,19286
ABW,1816,19286
ABW,1817,19286
ABW,1818,19286
ABW,1819,19286
ABW,1820,19286
ABW,1821,19387
ABW,1822,19489
ABW,1823,19591
ABW,1824,19694
ABW,1825,19797
ABW,1826,19901
ABW,1827,20005
ABW,1828,20110
ABW,1829,20216
ABW,1830,20322
ABW,1831,20428
ABW,1832,20535
ABW,1833,20643
ABW,1834,20751
ABW,1835,20860
ABW,1836,20969
ABW,1837,21079
ABW,1838,21190
ABW,1839,21301
ABW,1840,21413
ABW,1841,21525
ABW,1842,21638
ABW,1843,21751
ABW,1844,21865
ABW,1845,21980
ABW,1846,22095
ABW,1847,22211
ABW,1848,22328
ABW,1849,22445
ABW,1850,22562
ABW,1851,22681
ABW,1852,22800
ABW,1853,22919
ABW,1854,23040
ABW,1855,23160
ABW,1856,23282
ABW,1857,23404
ABW,1858,23527
ABW,1859,23650
ABW,1860,23774
ABW,1861,23899
ABW,1862,24024
ABW,1863,24150
ABW,1864,24277
ABW,1865,24404
ABW,1866,24532
ABW,1867,24661
ABW,1868,24790
ABW,1869,24920
ABW,1870,25051
ABW,1871,25182
ABW,1872,25314
ABW,1873,25447
ABW,1874,25580
ABW,1875,25714
ABW,1876,25849
ABW,1877,25985
ABW,1878,26121
ABW,1879,26258
ABW,1880,26396
ABW,1881,26534
ABW,1882,26673
ABW,1883,26813
ABW,1884,26954
ABW,1885,27095
ABW,1886,27237
ABW,1887,27380
ABW,1888,27524
ABW,1889,27668
ABW,1890,27813
ABW,1891,27959
ABW,1892,28105
ABW,1893,28253
ABW,1894,28401
ABW,1895,28550
ABW,1896,28700
ABW,1897,28850
ABW,1898,29001
ABW,1899,29154
ABW,1900,29306
ABW,1901,29460
ABW,1902,29615
ABW,1903,29770
ABW,1904,29926
ABW,1905,30083
ABW,1906,30241
ABW,1907,30399
ABW,1908,30559
ABW,1909,30719
ABW,1910,30880
ABW,1911,31042
ABW,1912,31205
ABW,1913,31368
ABW,1914,31533
ABW,1915,31698
ABW,1916,31864
ABW,1917,32032
ABW,1918,32200
ABW,1919,32368
ABW,1920,32538
ABW,1921,32709
ABW,1922,32880
ABW,1923,33053
ABW,1924,33226
ABW,1925,33400
ABW,1926,33575
ABW,1927,33751
ABW,1928,33928
ABW,1929,34106
ABW,1930,34285
ABW,1931,34465
ABW,1932,34646
ABW,1933,34827
ABW,1934,35010
ABW,1935,35194
ABW,1936,35378
ABW,1937,35564
ABW,1938,35750
ABW,1939,35938
ABW,1940,36126
ABW,1941,36316
ABW,1942,36506
ABW,1943,36698
ABW,1944,36890
ABW,1945,37083
ABW,1946,37278
ABW,1947,37473
ABW,1948,37670
ABW,1949,37867
ABW,1950,38066
ABW,1951,38263
ABW,1952,38965
ABW,1953,40149
ABW,1954,41763
ABW,1955,43727
ABW,1956,45933
ABW,1957,48242
ABW,1958,50499
ABW,1959,52535
ABW,1960,54208
ABW,1961,55435
ABW,1962,56226
ABW,1963,56697
ABW,1964,57029
ABW,1965,57360
ABW,1966,57712
ABW,1967,58049
ABW,1968,58385
ABW,1969,58724
ABW,1970,59065
ABW,1971,59438
ABW,1972,59849
ABW,1973,60239
ABW,1974,60525
ABW,1975,60655
ABW,1976,60589
ABW,1977,60366
ABW,1978,60106
ABW,1979,59978
ABW,1980,60096
ABW,1981,60567
ABW,1982,61344
ABW,1983,62204
ABW,1984,62831
ABW,1985,63028
ABW,1986,62644
ABW,1987,61835
ABW,1988,61077
ABW,1989,61032
ABW,1990,62148
ABW,1991,64623
ABW,1992,68235
ABW,1993,72498
ABW,1994,76700
ABW,1995,80326
ABW,1996,83195
ABW,1997,85447
ABW,1998,87276
ABW,1999,89004
ABW,2000,90858
ABW,2001,92894
ABW,2002,94995
ABW,2003,97015
ABW,2004,98742
ABW,2005,100031
ABW,2006,100830
ABW,2007,101218
ABW,2008,101342
ABW,2009,101416
ABW,2010,101597
ABW,2011,101936
ABW,2012,102393
ABW,2013,102921
ABW,2014,103441
ABW,2015,103889
ABW,2016,104263
ABW,2017,104588
ABW,2018,104876
ABW,2019,105142
ABW,2020,105397
ABW,2021,105643
ABW,2022,105876
ABW,2023,106093
ABW,2024,106297
ABW,2025,106483
ABW,2026,106654
ABW,2027,106806
ABW,2028,106937
ABW,2029,107042
ABW,2030,107116
ABW,2031,107158
ABW,2032,107167
ABW,2033,107141
ABW,2034,107077
ABW,2035,106972
ABW,2036,106827
ABW,2037,106642
ABW,2038,106417
ABW,2039,106153
ABW,2040,105851
ABW,2041,105513
ABW,2042,105142
ABW,2043,104740
ABW,2044,104316
ABW,2045,103875
ABW,2046,103419
ABW,2047,102950
